flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_seg_size_avg,bwd_seg_size_avg,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwr_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,win_byts_tot,fwd_win_tot,bwd_win_tot,win_byts_mean,fwd_win_mean,bwd_win_mean,win_byts_std,fwd_win_std,bwd_win_std,win_byts_max,fwd_win_max,bwd_win_max,win_byts_min,fwd_win_min,bwd_win_min,zero_win_cnt,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,label
5608884,1803.567340668839,3.387483143,1.961174451102929,1.426308691711221,11,8,1887,8229,485,66,171.54545454545453,171.22943865222777,3673,66,1028.625,1356.1628716253074,3673,66,532.4210526,985.1055682562239,970432.9806094178,360,264,32,137.54545454545453,994.625,3,311604.6666666667,4958312,0,1132270.9407840509,5608814,4999673,0,560881.4,1486227.8768284626,5608852,5002195,15,801264.5714285715,1722526.2820779795,3,4,0,0,2,2,0,7,18,0,0,0,0.7272727272727273,532.4210526,64240,65535,135703,69237,66466,7142.263157894737,6294.272727272727,8308.25,19808.30267933149,18324.048158789035,21629.678475129953,65535,64240,65535,131,491,131,0,5608884,5608884,5608884,0,0,0,0,0,11,8,1887,8229,0,0,0,0,benign
5536290,74.41806697264775,1.0837582568832196,0.722505505,0.3612527522944065,4,2,272,140,74,66,68,3.4641016151377544,74,66,70,4,74,66,68.66666666666667,3.7712361663282534,14.222222222222223,136,72,32,34,36,0,1107258,5535640,21,2214191.001971149,5536290,5535640,322,1845430,2609372.515003559,5536145,5536145,5536145,5536145,0,0,0,0,0,2,2,0,0,5,0,0,0,0.5,68.66666666666667,64240,65535,131409,65746,65663,21901.5,16436.5,32831.5,30398.27848058724,27599.363593206275,32703.5,65535,64240,65535,128,502,128,0,328,322,325,3,5535640,5535640,5535640,0,4,2,272,140,0,0,0,0,benign
16647023,1383.6708221043486,1.6219116174705832,0.9611328103529382,0.6607788071176449,16,11,3828,19206,603,66,239.25,227.74862787731564,3673,66,1746,1646.1841275562651,3673,66,853.1111111111111,1297.262340564511,1682889.5802469132,520,360,32,205.25,1712,6,640270.1153846154,5021724,0,1500160.3434482832,16646943,5067502,0,1109796.2,1846729.707457201,16646993,5040412,70,1664699.3,2047980.9276386853,6,7,0,0,2,2,0,13,26,0,0,0,0.6875,853.1111111111111,64240,65535,138637,71742,66895,5134.7037037037035,4483.875,6081.363636363636,16902.433699004578,15428.965365000175,18800.891019855837,65535,64240,65535,131,491,131,0,6584887,5040412,5812649.5,772237.5,5021724,5021724,5021724,0,4,2.75,957,4801.5,0,0,0,0,benign
16552368.000000002,24.890698418498186,0.36248589929851727,0.2416572661990115,0.12082863309950576,4,2,272,140,74,66,68,3.4641016151377544,74,66,70,4,74,66,68.66666666666667,3.7712361663282534,14.222222222222223,136,72,32,34,36,0,3310473.6,16551741,31,6620633.700574639,16552368,16551741,303,5517456,7802417.749049714,16552228,16552228,16552228,16552228,0,0,0,0,0,2,2,0,0,5,0,0,0,0.5,68.66666666666667,64240,65535,131409,65746,65663,21901.5,16436.5,32831.5,30398.27848058724,27599.363593206275,32703.5,65535,64240,65535,128,502,128,0,324,303,313.5,10.5,16551741,16551741,16551741,0,4,2,272,140,0,0,0,0,benign
14576961,1580.1647545054143,1.852237925312416,1.0976224742592093,0.7546154510532065,16,11,3828,19206,603,66,239.25,227.74862787731564,3673,66,1746,1646.1841275562651,3673,66,853.1111111111111,1297.262340564511,1682889.5802469132,520,360,32,205.25,1712,6,560652.3461538461,5004384,0,1339562.5376356998,14576897,5049189,0,971793.1333333333,1655504.9867644964,14576932,5005076,14,1457693.2,1839831.2434871737,6,7,0,0,2,2,0,13,26,0,0,0,0.6875,853.1111111111111,64240,65535,138637,71742,66895,5134.7037037037035,4483.875,6081.363636363636,16902.433699004578,15428.965365000175,18800.891019855837,65535,64240,65535,131,491,131,0,6761546,2811031,4786288.5,1975257.5,5004384,5004384,5004384,0,4,2.75,957,4801.5,0,0,0,0,benign
14508145,28.397841350496563,0.4135607963664548,0.27570719757763656,0.13785359878881828,4,2,272,140,74,66,68,3.4641016151377544,74,66,70,4,74,66,68.66666666666667,3.7712361663282534,14.222222222222223,136,72,32,34,36,0,2901629,14507131,37,5802751.003783326,14508145,14507131,331,4836048.333333333,6838488.136525565,14507982,14507982,14507982,14507982,0,0,0,0,0,2,2,0,0,5,0,0,0,0.5,68.66666666666667,64240,65535,131409,65746,65663,21901.5,16436.5,32831.5,30398.27848058724,27599.363593206275,32703.5,65535,64240,65535,128,502,128,0,683,331,507,176,14507131,14507131,14507131,0,4,2,272,140,0,0,0,0,benign
9481198,1972.957425844287,2.531325682682716,1.4766066482315843,1.0547190344511317,14,10,3159,15547,603,66,225.64285714285714,217.9431797323255,3673,66,1554.7,1605.727813173827,3673,66,779.4166666666666,1237.4800643736537,1531356.9097222222,456,328,32,191.64285714285714,1520.7,5,412226,5005604,0,1126223.6544045152,9481166,5051405,0,729320.4615384615,1431106.4027204004,9481167,5006126,15,1053463,1609298.3752490815,5,6,0,0,2,2,0,11,23,0,0,0,0.7142857142857143,779.4166666666666,64240,65535,137490,70740,66750,5728.75,5052.857142857143,6675,17838.841318991734,16415.560126456425,19620.000265035676,65535,64240,65535,131,491,131,0,2290463,2185131,2237797,52666,5005604,5005604,5005604,0,4.666666666666667,3.3333333333333335,1053,5182.333333333333,0,0,0,0,benign
10447452,39.43545277834251,0.5743027103642113,0.38286847357614084,0.19143423678807042,4,2,272,140,74,66,68,3.4641016151377544,74,66,70,4,74,66,68.66666666666667,3.7712361663282534,14.222222222222223,136,72,32,34,36,0,2089490.4,10446833,17,4178671.300640604,10447452,10446833,246,3482484,4924538.404722687,10447237,10447237,10447237,10447237,0,0,0,0,0,2,2,0,0,5,0,0,0,0.5,68.66666666666667,64240,65535,131409,65746,65663,21901.5,16436.5,32831.5,30398.27848058724,27599.363593206275,32703.5,65535,64240,65535,128,502,128,0,373,246,309.5,63.5,10446833,10446833,10446833,0,4,2,272,140,0,0,0,0,benign
5553735,1821.476897979468,3.421121101384924,1.980649058696535,1.440472042688389,11,8,1887,8229,485,66,171.54545454545453,171.22943865222777,3673,66,1028.625,1356.1628716253074,3673,66,532.4210526,985.1055682562239,970432.9806094178,360,264,32,137.54545454545453,994.625,3,308540.8333333333,4956160,37,1130713.296257782,5553633,4999183,129,555363.3,1485563.1349764336,5553698,5004581,73,793385.4285714285,1723870.0180326705,3,4,0,0,2,2,0,7,18,0,0,0,0.7272727272727273,532.4210526,64240,65535,135703,69237,66466,7142.263157894737,6294.272727272727,8308.25,19808.30267933149,18324.048158789035,21629.678475129953,65535,64240,65535,131,491,131,0,5553735,5553735,5553735,0,0,0,0,0,11,8,1887,8229,0,0,0,0,benign
5476530,75.23011834135848,1.0955842476896867,0.7303894984597911,0.36519474922989553,4,2,272,140,74,66,68,3.4641016151377544,74,66,70,4,74,66,68.66666666666667,3.7712361663282534,14.222222222222223,136,72,32,34,36,0,1095306,5475545,41,2190119.507326575,5476530,5475545,374,1825510,2580964.501881806,5476359,5476359,5476359,5476359,0,0,0,0,0,2,2,0,0,5,0,0,0,0.5,68.66666666666667,64240,65535,131409,65746,65663,21901.5,16436.5,32831.5,30398.27848058724,27599.363593206275,32703.5,65535,64240,65535,128,502,128,0,611,374,492.5,118.5,5475545,5475545,5475545,0,4,2,272,140,0,0,0,0,benign
